DEBUG 2024-10-02 15:02:58,157 utils (0.015) INSERT INTO "Inventory_inventoryitems" ("name", "category", "description", "price", "quantity") VALUES ('Kipp', 'Dodge', 'Muffin - Banana Nut Individual', 3, 1) RETURNING "Inventory_inventoryitems"."id"; args=('Kipp', 'Dodge', 'Muffin - Banana Nut Individual', 3, 1); alias=default
INFO 2024-10-02 15:02:58,158 basehttp "POST /inventory/items HTTP/1.1" 201 114
DEBUG 2024-10-02 15:05:24,294 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\Inventory_management\Inventory_management\settings.py previous mtime: 1727861010.885647, current mtime: 1727861723.7327807
DEBUG 2024-10-02 15:05:24,294 autoreload C:\Users\polap\OneDrive\Documents\Inventory Project\Inventory_management\Inventory_management\settings.py notified as changed. Signal results: [(<function template_changed at 0x000002B3B9B1E320>, None), (<function translation_file_changed at 0x000002B3BA47F130>, None)].
INFO 2024-10-02 15:05:24,294 autoreload C:\Users\polap\OneDrive\Documents\Inventory Project\Inventory_management\Inventory_management\settings.py changed, reloading.
INFO 2024-10-02 15:05:25,976 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-02 15:05:25,976 autoreload Waiting for apps ready_event.
DEBUG 2024-10-02 15:05:26,170 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-02 15:05:26,180 autoreload Watching dir C:\Users\polap\OneDrive\Documents\Inventory Project\env\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-02 15:05:26,180 autoreload Watching dir C:\Users\polap\OneDrive\Documents\Inventory Project\Inventory_management\locale with glob **/*.mo.
DEBUG 2024-10-02 15:05:26,180 autoreload Watching dir C:\Users\polap\OneDrive\Documents\Inventory Project\env\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-02 15:05:26,180 autoreload Watching dir C:\Users\polap\OneDrive\Documents\Inventory Project\Inventory_management\Inventory\locale with glob **/*.mo.
DEBUG 2024-10-02 15:05:26,180 autoreload Watching dir C:\Users\polap\OneDrive\Documents\Inventory Project\Inventory_management\userapp\locale with glob **/*.mo.
DEBUG 2024-10-02 15:05:26,180 autoreload Watching dir C:\Users\polap\OneDrive\Documents\Inventory Project\env\lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-10-02 15:05:26,519 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\psycopg2\_range.py first seen with mtime 1727807271.6611297
DEBUG 2024-10-02 15:05:26,519 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1727806039.4030619
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\AppData\Local\Programs\Python\Python310\Lib\urllib\__init__.py first seen with mtime 1675774514.0
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\AppData\Local\Programs\Python\Python310\Lib\unittest\__init__.py first seen with mtime 1675774514.0
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1727806039.4428
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1727806033.7825253
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1727806038.655383
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\rest_framework\utils\urls.py first seen with mtime 1727807200.6132123
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1727806039.6581223
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\AppData\Local\Programs\Python\Python310\Lib\collections\abc.py first seen with mtime 1675774514.0
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1727806039.7055802
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1727806038.6596303
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1727806039.4463236
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\AppData\Local\Programs\Python\Python310\Lib\types.py first seen with mtime 1675774514.0
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1727806039.6936376
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1727806039.6237545
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\rest_framework\settings.py first seen with mtime 1727807200.4038062
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\AppData\Local\Programs\Python\Python310\Lib\email\mime\text.py first seen with mtime 1675774514.0
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\AppData\Local\Programs\Python\Python310\Lib\pkgutil.py first seen with mtime 1675774514.0
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\utils\decorators.py first seen with mtime 1727806039.6686206
DEBUG 2024-10-02 15:05:26,523 autoreload File C:\Users\polap\OneDrive\Documents\Inventory Project\env\Lib\site-packages\django\forms\models.py first seen with mtime 1727806039.4897957
